ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
295,https://channel963.iheart.com,*****@************.***,,,,,,,,,,,,,,,,,,,,,
296,https://www.kmph.com,************@********-*******.***,,,,,,,,,,,,,,,,,,,,,
297,https://www.wbap.com,*******@**********.***,,,,,,,,,,,,,,,,,,,,,
298,https://www.eplustv6.com,*******@**********.*******,,,,,,,,,,,,,,,,,,,,,
299,https://www.drbobshow.com,****.*******@****.**,,,,,,,,,,,,,,,,,,,,,
300,https://www.foxsports.com/watch/the-herd-with-colin-cowherd?vid=519034947536,******@*********.***,,,,,,,,,,,,,,,,,,,,,
301,https://www.mightyhouse.net,****@**********.***,,,,,,,,,,,,,,,,,,,,,
302,https://www.wlky.com,********@*******.***,,,,,,,,,,,,,,,,,,,,,
303,https://www.wlky.com,********.********@*****.***,,,,,,,,,,,,,,,,,,,,,
304,https://spectrumlocalnews.com/nys/capital-region,*******.*********@**********.***,,,,,,,,,,,,,,,,,,,,,
305,https://www.kkcr.org,******.*****@*************.***,**@**************.***,,,,,,,,,,,,,,,,,,,,
306,https://www.tugcowart.com,******@**********************.***,,,,,,,,,,,,,,,,,,,,,
307,https://www.knlr.com,*******@******************.***,,,,,,,,,,,,,,,,,,,,,
308,https://www.knlr.com,************.******@*******.***,************.******@***********.***,,,,,,,,,,,,,,,,,,,,
309,https://www.10news.com,*******@******.********,,,,,,,,,,,,,,,,,,,,,
310,https://www.news3lv.com,*****@**********.***,,,,,,,,,,,,,,,,,,,,,
311,https://am1380theanswer.com,******@*************.***,,,,,,,,,,,,,,,,,,,,,
312,https://am1380theanswer.com,*****.********@***********.***,,,,,,,,,,,,,,,,,,,,,
313,https://www.wjfl.com,**********@****.***,,,,,,,,,,,,,,,,,,,,,
